起运港,目的港,箱型,海运费USD,附加费USD,运输天数,运价有效期,数据来源
Abu Dhabi,Qingdao,40FR,4570,150,18,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Sharjah,20GP,180,150,1,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Sharjah,40GP,190,150,1,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Sharjah,40HQ,190,150,1,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Sharjah,40RF,350,150,1,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Sharjah,40OT,240,150,1,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Sharjah,40FR,250,150,1,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Shuaiba,20GP,880,150,5,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Shuaiba,40GP,950,150,5,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Shuaiba,40HQ,950,150,5,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Shuaiba,40RF,1750,150,5,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Shuaiba,40OT,1180,150,5,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Shuaiba,40FR,1270,150,5,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Singapore,20GP,3850,150,22,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Singapore,40GP,4180,150,22,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Singapore,40HQ,4180,150,22,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Singapore,40RF,7700,150,22,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Singapore,40OT,5200,150,22,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Singapore,40FR,5580,150,22,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Umm Qasr,20GP,520,150,3,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Umm Qasr,40GP,570,150,3,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Umm Qasr,40HQ,570,150,3,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Umm Qasr,40RF,1050,150,3,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Umm Qasr,40OT,710,150,3,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Umm Qasr,40FR,760,150,3,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Xiamen,20GP,4900,150,28,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Xiamen,40GP,5320,150,28,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Xiamen,40HQ,5320,150,28,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Xiamen,40RF,9800,150,28,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Xiamen,40OT,6620,150,28,MOCK (replace with real 运价有效期),MOCK
Abu Dhabi,Xiamen,40FR,7100,150,28,MOCK (replace with real 运价有效期),MOCK
Acajutla,Balboa,20GP,1050,150,6,MOCK (replace with real 运价有效期),MOCK
Acajutla,Balboa,40GP,1140,150,6,MOCK (replace with real 运价有效期),MOCK
Acajutla,Balboa,40HQ,1140,150,6,MOCK (replace with real 运价有效期),MOCK
Acajutla,Balboa,40RF,2100,150,6,MOCK (replace with real 运价有效期),MOCK
Acajutla,Balboa,40OT,1420,150,6,MOCK (replace with real 运价有效期),MOCK
Acajutla,Balboa,40FR,1520,150,6,MOCK (replace with real 运价有效期),MOCK
Acajutla,Puerto Caldera,20GP,520,150,3,MOCK (replace with real 运价有效期),MOCK
Acajutla,Puerto Caldera,40GP,570,150,3,MOCK (replace with real 运价有效期),MOCK
Acajutla,Puerto Caldera,40HQ,570,150,3,MOCK (replace with real 运价有效期),MOCK
Acajutla,Puerto Caldera,40RF,1050,150,3,MOCK (replace with real 运价有效期),MOCK
Acajutla,Puerto Caldera,40OT,710,150,3,MOCK (replace with real 运价有效期),MOCK
Acajutla,Puerto Caldera,40FR,760,150,3,MOCK (replace with real 运价有效期),MOCK
Adelaide,Fremantle,20GP,700,150,4,MOCK (replace with real 运价有效期),MOCK
Adelaide,Fremantle,40GP,760,150,4,MOCK (replace with real 运价有效期),MOCK
Adelaide,Fremantle,40HQ,760,150,4,MOCK (replace with real 运价有效期),MOCK
Adelaide,Fremantle,40RF,1400,150,4,MOCK (replace with real 运价有效期),MOCK
Adelaide,Fremantle,40OT,950,150,4,MOCK (replace with real 运价有效期),MOCK
Adelaide,Fremantle,40FR,1020,150,4,MOCK (replace with real 运价有效期),MOCK
Adelaide,Jakarta,20GP,1400,150,8,MOCK (replace with real 运价有效期),MOCK
Adelaide,Jakarta,40GP,1520,150,8,MOCK (replace with real 运价有效期),MOCK
Adelaide,Jakarta,40HQ,1520,150,8,MOCK (replace with real 运价有效期),MOCK
Adelaide,Jakarta,40RF,2800,150,8,MOCK (replace with real 运价有效期),MOCK
Adelaide,Jakarta,40OT,1890,150,8,MOCK (replace with real 运价有效期),MOCK
Adelaide,Jakarta,40FR,2030,150,8,MOCK (replace with real 运价有效期),MOCK
Adelaide,Singapore,20GP,1920,150,11,MOCK (replace with real 运价有效期),MOCK
Adelaide,Singapore,40GP,2090,150,11,MOCK (replace with real 运价有效期),MOCK
Adelaide,Singapore,40HQ,2090,150,11,MOCK (replace with real 运价有效期),MOCK
Adelaide,Singapore,40RF,3850,150,11,MOCK (replace with real 运价有效期),MOCK
Adelaide,Singapore,40OT,2600,150,11,MOCK (replace with real 运价有效期),MOCK
Adelaide,Singapore,40FR,2790,150,11,MOCK (replace with real 运价有效期),MOCK
Ajman,Khalifa,20GP,180,150,1,MOCK (replace with real 运价有效期),MOCK
Ajman,Khalifa,40GP,190,150,1,MOCK (replace with real 运价有效期),MOCK
Ajman,Khalifa,40HQ,190,150,1,MOCK (replace with real 运价有效期),MOCK
Ajman,Khalifa,40RF,350,150,1,MOCK (replace with real 运价有效期),MOCK
Ajman,Khalifa,40OT,240,150,1,MOCK (replace with real 运价有效期),MOCK
Ajman,Khalifa,40FR,250,150,1,MOCK (replace with real 运价有效期),MOCK
Alexandria,Alger,20GP,1050,150,6,MOCK (replace with real 运价有效期),MOCK
Alexandria,Alger,40GP,1140,150,6,MOCK (replace with real 运价有效期),MOCK
Alexandria,Alger,40HQ,1140,150,6,MOCK (replace with real 运价有效期),MOCK
Alexandria,Alger,40RF,2100,150,6,MOCK (replace with real 运价有效期),MOCK
Alexandria,Alger,40OT,1420,150,6,MOCK (replace with real 运价有效期),MOCK
Alexandria,Alger,40FR,1520,150,6,MOCK (replace with real 运价有效期),MOCK
Alexandria,Beirut,20GP,350,150,2,MOCK (replace with real 运价有效期),MOCK
Alexandria,Beirut,40GP,380,150,2,MOCK (replace with real 运价有效期),MOCK
Alexandria,Beirut,40HQ,380,150,2,MOCK (replace with real 运价有效期),MOCK
Alexandria,Beirut,40RF,700,150,2,MOCK (replace with real 运价有效期),MOCK
Alexandria,Beirut,40OT,470,150,2,MOCK (replace with real 运价有效期),MOCK
Alexandria,Beirut,40FR,510,150,2,MOCK (replace with real 运价有效期),MOCK
Alexandria,Felixstowe,20GP,2100,150,12,MOCK (replace with real 运价有效期),MOCK
Alexandria,Felixstowe,40GP,2280,150,12,MOCK (replace with real 运价有效期),MOCK
Alexandria,Felixstowe,40HQ,2280,150,12,MOCK (replace with real 运价有效期),MOCK
Alexandria,Felixstowe,40RF,4200,150,12,MOCK (replace with real 运价有效期),MOCK
Alexandria,Felixstowe,40OT,2840,150,12,MOCK (replace with real 运价有效期),MOCK
Alexandria,Felixstowe,40FR,3040,150,12,MOCK (replace with real 运价有效期),MOCK
Alexandria,Jeddah,20GP,700,150,4,MOCK (replace with real 运价有效期),MOCK
Alexandria,Jeddah,40GP,760,150,4,MOCK (replace with real 运价有效期),MOCK
Alexandria,Jeddah,40HQ,760,150,4,MOCK (replace with real 运价有效期),MOCK
Alexandria,Jeddah,40RF,1400,150,4,MOCK (replace with real 运价有效期),MOCK
Alexandria,Jeddah,40OT,950,150,4,MOCK (replace with real 运价有效期),MOCK
Alexandria,Jeddah,40FR,1020,150,4,MOCK (replace with real 运价有效期),MOCK
Alexandria,Koper,20GP,1400,150,8,MOCK (replace with real 运价有效期),MOCK
Alexandria,Koper,40GP,1520,150,8,MOCK (replace with real 运价有效期),MOCK
Alexandria,Koper,40HQ,1520,150,8,MOCK (replace with real 运价有效期),MOCK
Alexandria,Koper,40RF,2800,150,8,MOCK (replace with real 运价有效期),MOCK
Alexandria,Koper,40OT,1890,150,8,MOCK (replace with real 运价有效期),MOCK
Alexandria,Koper,40FR,2030,150,8,MOCK (replace with real 运价有效期),MOCK
Alexandria,Mersin,20GP,350,150,2,MOCK (replace with real 运价有效期),MOCK
Alexandria,Mersin,40GP,380,150,2,MOCK (replace with real 运价有效期),MOCK
Alexandria,Mersin,40HQ,380,150,2,MOCK (replace with real 运价有效期),MOCK
Alexandria,Mersin,40RF,700,150,2,MOCK (replace with real 运价有效期),MOCK
Alexandria,Mersin,40OT,470,150,2,MOCK (replace with real 运价有效期),MOCK
Alexandria,Mersin,40FR,510,150,2,MOCK (replace with real 运价有效期),MOCK
Alexandria,Ningbo,20GP,5250,150,30,MOCK (replace with real 运价有效期),MOCK
Alexandria,Ningbo,40GP,5700,150,30,MOCK (replace with real 运价有效期),MOCK
Alexandria,Ningbo,40HQ,5700,150,30,MOCK (replace with real 运价有效期),MOCK
Alexandria,Ningbo,40RF,10500,150,30,MOCK (replace with real 运价有效期),MOCK
Alexandria,Ningbo,40OT,7090,150,30,MOCK (replace with real 运价有效期),MOCK
Alexandria,Ningbo,40FR,7610,150,30,MOCK (replace with real 运价有效期),MOCK
Alexandria,Piraeus,20GP,350,150,2,MOCK (replace with real 运价有效期),MOCK
Alexandria,Piraeus,40GP,380,150,2,MOCK (replace with real 运价有效期),MOCK
Alexandria,Piraeus,40HQ,380,150,2,MOCK (replace with real 运价有效期),MOCK
Alexandria,Piraeus,40RF,700,150,2,MOCK (replace with real 运价有效期),MOCK
Alexandria,Piraeus,40OT,470,150,2,MOCK (replace with real 运价有效期),MOCK
Alexandria,Piraeus,40FR,510,150,2,MOCK (replace with real 运价有效期),MOCK
Alexandria,Port Kelang,20GP,3500,150,20,MOCK (replace with real 运价有效期),MOCK
Alexandria,Port Kelang,40GP,3800,150,20,MOCK (replace with real 运价有效期),MOCK
Alexandria,Port Kelang,40HQ,3800,150,20,MOCK (replace with real 运价有效期),MOCK
Alexandria,Port Kelang,40RF,7000,150,20,MOCK (replace with real 运价有效期),MOCK
Alexandria,Port Kelang,40OT,4720,150,20,MOCK (replace with real 运价有效期),MOCK
Alexandria,Port Kelang,40FR,5080,150,20,MOCK (replace with real 运价有效期),MOCK
Alexandria,Rijeka,20GP,2100,150,12,MOCK (replace with real 运价有效期),MOCK
Alexandria,Rijeka,40GP,2280,150,12,MOCK (replace with real 运价有效期),MOCK
Alexandria,Rijeka,40HQ,2280,150,12,MOCK (replace with real 运价有效期),MOCK
Alexandria,Rijeka,40RF,4200,150,12,MOCK (replace with real 运价有效期),MOCK
Alexandria,Rijeka,40OT,2840,150,12,MOCK (replace with real 运价有效期),MOCK
Alexandria,Rijeka,40FR,3040,150,12,MOCK (replace with real 运价有效期),MOCK
Alexandria,Salerno,20GP,880,150,5,MOCK (replace with real 运价有效期),MOCK
Alexandria,Salerno,40GP,950,150,5,MOCK (replace with real 运价有效期),MOCK
Alexandria,Salerno,40HQ,950,150,5,MOCK (replace with real 运价有效期),MOCK
Alexandria,Salerno,40RF,1750,150,5,MOCK (replace with real 运价有效期),MOCK
Alexandria,Salerno,40OT,1180,150,5,MOCK (replace with real 运价有效期),MOCK
Alexandria,Salerno,40FR,1270,150,5,MOCK (replace with real 运价有效期),MOCK
Alexandria,Trieste,20GP,1920,150,11,MOCK (replace with real 运价有效期),MOCK
Alexandria,Trieste,40GP,2090,150,11,MOCK (replace with real 运价有效期),MOCK
Alexandria,Trieste,40HQ,2090,150,11,MOCK (replace with real 运价有效期),MOCK
Alexandria,Trieste,40RF,3850,150,11,MOCK (replace with real 运价有效期),MOCK
Alexandria,Trieste,40OT,2600,150,11,MOCK (replace with real 运价有效期),MOCK
Alexandria,Trieste,40FR,2790,150,11,MOCK (replace with real 运价有效期),MOCK
Alexandria,Venice,20GP,1580,150,9,MOCK (replace with real 运价有效期),MOCK
Alexandria,Venice,40GP,1710,150,9,MOCK (replace with real 运价有效期),MOCK
Alexandria,Venice,40HQ,1710,150,9,MOCK (replace with real 运价有效期),MOCK
Alexandria,Venice,40RF,3150,150,9,MOCK (replace with real 运价有效期),MOCK
Alexandria,Venice,40OT,2130,150,9,MOCK (replace with real 运价有效期),MOCK
Alexandria,Venice,40FR,2280,150,9,MOCK (replace with real 运价有效期),MOCK
Algeciras,Abidjan,20GP,2100,150,12,MOCK (replace with real 运价有效期),MOCK
Algeciras,Abidjan,40GP,2280,150,12,MOCK (replace with real 运价有效期),MOCK
Algeciras,Abidjan,40HQ,2280,150,12,MOCK (replace with real 运价有效期),MOCK
Algeciras,Abidjan,40RF,4200,150,12,MOCK (replace with real 运价有效期),MOCK
Algeciras,Abidjan,40OT,2840,150,12,MOCK (replace with real 运价有效期),MOCK
Algeciras,Abidjan,40FR,3040,150,12,MOCK (replace with real 运价有效期),MOCK
Algeciras,Barcelona,20GP,350,150,2,MOCK (replace with real 运价有效期),MOCK
Algeciras,Barcelona,40GP,380,150,2,MOCK (replace with real 运价有效期),MOCK
Algeciras,Barcelona,40HQ,380,150,2,MOCK (replace with real 运价有效期),MOCK
Algeciras,Barcelona,40RF,700,150,2,MOCK (replace with real 运价有效期),MOCK
Algeciras,Barcelona,40OT,470,150,2,MOCK (replace with real 运价有效期),MOCK
Algeciras,Barcelona,40FR,510,150,2,MOCK (replace with real 运价有效期),MOCK
Algeciras,Dakar,20GP,880,150,5,MOCK (replace with real 运价有效期),MOCK
Algeciras,Dakar,40GP,950,150,5,MOCK (replace with real 运价有效期),MOCK
Algeciras,Dakar,40HQ,950,150,5,MOCK (replace with real 运价有效期),MOCK
Algeciras,Dakar,40RF,1750,150,5,MOCK (replace with real 运价有效期),MOCK
Algeciras,Dakar,40OT,1180,150,5,MOCK (replace with real 运价有效期),MOCK
Algeciras,Dakar,40FR,1270,150,5,MOCK (replace with real 运价有效期),MOCK
Algeciras,Fos,20GP,2450,150,14,MOCK (replace with real 运价有效期),MOCK
Algeciras,Fos,40GP,2660,150,14,MOCK (replace with real 运价有效期),MOCK
Algeciras,Fos,40HQ,2660,150,14,MOCK (replace with real 运价有效期),MOCK
Algeciras,Fos,40RF,4900,150,14,MOCK (replace with real 运价有效期),MOCK
Algeciras,Fos,40OT,3310,150,14,MOCK (replace with real 运价有效期),MOCK
Algeciras,Fos,40FR,3550,150,14,MOCK (replace with real 运价有效期),MOCK
Algeciras,Genoa,20GP,1750,150,10,MOCK (replace with real 运价有效期),MOCK
Algeciras,Genoa,40GP,1900,150,10,MOCK (replace with real 运价有效期),MOCK
Algeciras,Genoa,40HQ,1900,150,10,MOCK (replace with real 运价有效期),MOCK
Algeciras,Genoa,40RF,3500,150,10,MOCK (replace with real 运价有效期),MOCK
Algeciras,Genoa,40OT,2360,150,10,MOCK (replace with real 运价有效期),MOCK
Algeciras,Genoa,40FR,2540,150,10,MOCK (replace with real 运价有效期),MOCK
Algeciras,Halifax,20GP,1220,150,7,MOCK (replace with real 运价有效期),MOCK
Algeciras,Halifax,40GP,1330,150,7,MOCK (replace with real 运价有效期),MOCK
Algeciras,Halifax,40HQ,1330,150,7,MOCK (replace with real 运价有效期),MOCK
Algeciras,Halifax,40RF,2450,150,7,MOCK (replace with real 运价有效期),MOCK
Algeciras,Halifax,40OT,1650,150,7,MOCK (replace with real 运价有效期),MOCK
Algeciras,Halifax,40FR,1780,150,7,MOCK (replace with real 运价有效期),MOCK
Algeciras,La Spezia,20GP,1220,150,7,MOCK (replace with real 运价有效期),MOCK
Algeciras,La Spezia,40GP,1330,150,7,MOCK (replace with real 运价有效期),MOCK
Algeciras,La Spezia,40HQ,1330,150,7,MOCK (replace with real 运价有效期),MOCK
Algeciras,La Spezia,40RF,2450,150,7,MOCK (replace with real 运价有效期),MOCK
Algeciras,La Spezia,40OT,1650,150,7,MOCK (replace with real 运价有效期),MOCK
Algeciras,La Spezia,40FR,1780,150,7,MOCK (replace with real 运价有效期),MOCK
Algeciras,Piraeus,20GP,1050,150,6,MOCK (replace with real 运价有效期),MOCK
Algeciras,Piraeus,40GP,1140,150,6,MOCK (replace with real 运价有效期),MOCK
Algeciras,Piraeus,40HQ,1140,150,6,MOCK (replace with real 运价有效期),MOCK
Algeciras,Piraeus,40RF,2100,150,6,MOCK (replace with real 运价有效期),MOCK
Algeciras,Piraeus,40OT,1420,150,6,MOCK (replace with real 运价有效期),MOCK
Algeciras,Piraeus,40FR,1520,150,6,MOCK (replace with real 运价有效期),MOCK
Algeciras,Rotterdam,20GP,700,150,4,MOCK (replace with real 运价有效期),MOCK
Algeciras,Rotterdam,40GP,760,150,4,MOCK (replace with real 运价有效期),MOCK
Algeciras,Rotterdam,40HQ,760,150,4,MOCK (replace with real 运价有效期),MOCK
Algeciras,Rotterdam,40RF,1400,150,4,MOCK (replace with real 运价有效期),MOCK
Algeciras,Rotterdam,40OT,950,150,4,MOCK (replace with real 运价有效期),MOCK
Algeciras,Rotterdam,40FR,1020,150,4,MOCK (replace with real 运价有效期),MOCK
Algeciras,Santos,20GP,1920,150,11,MOCK (replace with real 运价有效期),MOCK
Algeciras,Santos,40GP,2090,150,11,MOCK (replace with real 运价有效期),MOCK
Algeciras,Santos,40HQ,2090,150,11,MOCK (replace with real 运价有效期),MOCK
Algeciras,Santos,40RF,3850,150,11,MOCK (replace with real 运价有效期),MOCK
Algeciras,Santos,40OT,2600,150,11,MOCK (replace with real 运价有效期),MOCK
Algeciras,Santos,40FR,2790,150,11,MOCK (replace with real 运价有效期),MOCK
Algeciras,Tibury,20GP,880,150,5,MOCK (replace with real 运价有效期),MOCK
Algeciras,Tibury,40GP,950,150,5,MOCK (replace with real 运价有效期),MOCK
Algeciras,Tibury,40HQ,950,150,5,MOCK (replace with real 运价有效期),MOCK
Algeciras,Tibury,40RF,1750,150,5,MOCK (replace with real 运价有效期),MOCK
Algeciras,Tibury,40OT,1180,150,5,MOCK (replace with real 运价有效期),MOCK
Algeciras,Tibury,40FR,1270,150,5,MOCK (replace with real 运价有效期),MOCK
Algeciras,Vado Ligure,20GP,2280,150,13,MOCK (replace with real 运价有效期),MOCK
Algeciras,Vado Ligure,40GP,2470,150,13,MOCK (replace with real 运价有效期),MOCK
Algeciras,Vado Ligure,40HQ,2470,150,13,MOCK (replace with real 运价有效期),MOCK
Algeciras,Vado Ligure,40RF,4550,150,13,MOCK (replace with real 运价有效期),MOCK
Algeciras,Vado Ligure,40OT,3070,150,13,MOCK (replace with real 运价有效期),MOCK
Algeciras,Vado Ligure,40FR,3300,150,13,MOCK (replace with real 运价有效期),MOCK
Algeciras,Valencia,20GP,2620,150,15,MOCK (replace with real 运价有效期),MOCK
Algeciras,Valencia,40GP,2850,150,15,MOCK (replace with real 运价有效期),MOCK
Algeciras,Valencia,40HQ,2850,150,15,MOCK (replace with real 运价有效期),MOCK
Algeciras,Valencia,40RF,5250,150,15,MOCK (replace with real 运价有效期),MOCK
Algeciras,Valencia,40OT,3540,150,15,MOCK (replace with real 运价有效期),MOCK
Algeciras,Valencia,40FR,3810,150,15,MOCK (replace with real 运价有效期),MOCK
Algecirus,Jebel Ali,20GP,4550,150,26,MOCK (replace with real 运价有效期),MOCK
Algecirus,Jebel Ali,40GP,4940,150,26,MOCK (replace with real 运价有效期),MOCK
Algecirus,Jebel Ali,40HQ,4940,150,26,MOCK (replace with real 运价有效期),MOCK
Algecirus,Jebel Ali,40RF,9100,150,26,MOCK (replace with real 运价有效期),MOCK
Algecirus,Jebel Ali,40OT,6140,150,26,MOCK (replace with real 运价有效期),MOCK
Algecirus,Jebel Ali,40FR,6600,150,26,MOCK (replace with real 运价有效期),MOCK
Alger,Alexandria,20GP,880,150,5,MOCK (replace with real 运价有效期),MOCK
Alger,Alexandria,40GP,950,150,5,MOCK (replace with real 运价有效期),MOCK
Alger,Alexandria,40HQ,950,150,5,MOCK (replace with real 运价有效期),MOCK
Alger,Alexandria,40RF,1750,150,5,MOCK (replace with real 运价有效期),MOCK
Alger,Alexandria,40OT,1180,150,5,MOCK (replace with real 运价有效期),MOCK
Alger,Alexandria,40FR,1270,150,5,MOCK (replace with real 运价有效期),MOCK
Aliaga,Dameitta,20GP,700,150,4,MOCK (replace with real 运价有效期),MOCK
Aliaga,Dameitta,40GP,760,150,4,MOCK (replace with real 运价有效期),MOCK
